Study ID,Title,Author,Checked & passed inclusion criteria?,Extracted?,Extraction by:,Checked?,Check by:,Original Language of article,Country of the Study,Year of publication,Year(s) of data collection,Income level of study setting,Region of study setting,Study Design,Number of infants with MMC-associated HC,Mean,Median,Standard deviation,Range,Female,Male,Comments
ID 147,Surgical treatment of hydrocephalus and spinal dysraphism,"Elshani, Besnik and Lenjani, Basri",Did not pass (comment reason for exclusion),TRUE,Daoud,TRUE,Berjo,English,Kosovo,2014,2010-2012,Upper middle income,Europe & Central Asia,Retrospective study (unspecified),,,,,,,,Wrong population
ID 148,Surgical treatment of late neurological deterioration in children with myelodysplasia,"Caldarelli, M. and Di Rocco, C. and Colosimo Jr, C. and Fariello, G. and Di Gennaro, M.",Passed,TRUE,Jeremy,FALSE,Moniba,English,Italy,1995,1976-1991,High income,Europe & Central Asia,Retrospective study (unspecified),68,,,,,,,no specific numbers for MMC related HC
ID 149,Surgical treatment of myelomeningocele carried out at 'time zero' immediately after birth,"Matushita, Hamilton and Alho, Eduardo Joaquim and Teixeira, Manoel Jacobsen and Goldenberg, Dov Charles and Bunduki, Victor and Krebs, Vera Lucia Jornada and Furlan, Andre Luiz Beer and Pinto, Fern and o Campos Gomes",Passed,TRUE,Jeremy,TRUE,Moniba,English,Brazil,2009,1999-2006,Upper middle income,Latin America & Caribbean,Retrospective study (unspecified),37,,,,,,,no breakdown of hydrocephlus patient
ID 150,Systematic ventriculographic studies in infants born with meningomyelocele and encephalocele. The incidence and development of hydrocephalus,"Lorber, J.",Passed,TRUE,Jeremy,FALSE,Moniba,English,United Kingdom,1961,1959-1960,High income,Europe & Central Asia,Retrospective study (unspecified),172,,,,1-56,86,86,no mean age and unable to calculate 
ID 151,The Association between the Timing of Shunt Placement and Shunt Infection in Hydrocephalus Associated with Myelomeningocele,"Gurbuz, Mehmet Sabri and Yuksel, Mehmet Onur",Passed,TRUE,Moniba,TRUE,Safia,English,Turkey,2020,2010-2017,Upper middle income,Europe & Central Asia,Retrospective study (unspecified),67,,,,0-14,31,36,
ID 152,The comparative effectiveness of ventricular shunt placement versus endoscopic third ventriculostomy for initial treatment of hydrocephalus in infants: Clinical article,"Jernigan, Sarah C. and Goumnerova, Liliana and Berry, Jay G. and Graham, Dionne A.",Passed,TRUE,Moniba,TRUE,Safia,English,United States,2014,2004-2009,High income,North America,Cohort study,1274,,,,1-365,,,a retrospective cohort
ID 153,"The Effect of the Number of Open Vertebral Segments on the Prognosis of Newborns with Midline Closure Defect: A Single Surgeon, Single Center Experience","Cetinkal, Ahmet and Tahta, Alican",Passed,TRUE,Moniba,TRUE,Safia,English,Turkey,2021,2016-2019,Upper middle income,Europe & Central Asia,Retrospective study (unspecified),34,,,,,,,age: newborns=34
ID 154,The effectiveness of antibiotic-coated ventriculoperitoneal shunts for prevention of shunt infections in patients with myelomeningocele,"Ertugrul, Bilal and Kaplan, Metin and Akgun, Bekir and Ozturk, Sait and Serhat Erol, Fatih and Hergunsel, Omer Batu",Passed,TRUE,Moniba,TRUE,Safia,English,Turkey,2021,2010-2018,Upper middle income,Europe & Central Asia,Retrospective study (unspecified),116,,,,,72,44,
ID 155,The outlook for the child with a myelomeningocele for whom early surgery was considered inadvisable,"Hide, D. W. and Williams, H. P. and Ellis, H. L.",Did not pass (comment reason for exclusion),TRUE,Moniba,TRUE,Safia,,,,,,,RCT,,,,,,,,
ID 156,The results of clinical examination of children about one year with spinal hernia,"Yelikbayev, Galimzhan Mamirbekovich and Tutayeva, Aigerim Aitbayevna",Did not pass (comment reason for exclusion),TRUE,Brian,TRUE,Berjo,English,Kazakhstan,2015,2013-2015,Upper middle income,Europe & Central Asia,Retrospective study (unspecified),,,,,,,,Wrong population
ID 157,The significance of ventriculomegaly in the newborn with myelodysplasia,"Bell, W. O. and Sumner, T. E. and Volberg, F. M.",Passed,TRUE,Sett,FALSE,Jeremy,English,United States,1987,1982-1986,High income,North America,Prospective study (unspecified),25,,,,,,,No data on sex and no combined data on age
ID 158,The surgical management of meningoceles and meningomyeloceles,"Wilson, C. B. and Llewellyn, R. C.",Did not pass (comment reason for exclusion),TRUE,Berjo,TRUE,Brian,,,,,,,,,,,,,,,"Paper doesn't separate b/w meningoceles and MMC
"
ID 159,The Use of External Ventricular Drainage to Reduce the Frequency of Wound Complications in Myelomeningocele Closure,"McDowell, Michael M. and Lee, Philip S. and Greene, Stephanie and Foster, Kimberly A.",Passed,TRUE,Berjo,TRUE,Brian,English,United States,2018,2005-2016,High income,North America,Retrospective study (unspecified),71,,,,,48,40,No separate data for those with MMCaH was available 
ID 160,Therapeutic vancomycin monitoring in children with hydrocephalus during treatment of shunt infections,"Buszman, Ewa and M and at, Krzysztof M. and Hawranek, Jadwiga K. and Bafeltowska, Jolanta J.",Passed,TRUE,Berjo,TRUE,Brian,English,Poland,2004,,High income,Europe & Central Asia,Prospective study (unspecified),6,,,,11-151,4,2,
ID 161,Thirty-day medical and surgical readmission following prenatal versus postnatal myelomeningocele repair,"Cools, Michael and Northam, Weston and Elton, Scott and Quinsey, Carolyn and Goodnight, William and Mulvaney, Graham",Passed,TRUE,Berjo,TRUE,Brian,English,United States,2019,2011-2017,High income,North America,Retrospective study (unspecified),27,263.2,,277.2,,31,27,No separate data on some demographic xtics available for MMCaH
ID 162,Timing of Shunt Insertion in Children with Neural Tube Defects and Hydrocephalus: A Clinical Study,"Ozgural, Onur and Kahilogullari, Gokmen and Dogan, Ihsan and Eroglu, Umit and Yakar, Fatih and Kilinc, Mustafa Cemil and Sayaci, Emre Yagiz and Unlu, Mustafa Agahan",Passed,TRUE,Berjo,TRUE,Brian,English,Turkey,2020,2012-2018,Upper middle income,Europe & Central Asia,Retrospective study (unspecified),57,6.51,,,,37,34,No separate data on some demographic xtics available for MMCaH
ID 163,Timing of ventriculoperitoneal shunt insertion following spina bifida closure in Kenya,"Margaron, Franklin C. and Poenaru, Dan and Bransford, Richard and Albright, A. Lel",Passed,TRUE,Berjo,TRUE,Brian,English,Kenya,2010,1997-2007,Lower middle income,Sub-Saharan Africa,Retrospective study (unspecified),276,258.5,30.4,238,,123,153,Spinal bifida and MMC were used interchangeably in the text 
ID 164,Transcranial Doppler in the evaluation of infants treated with retrograde ventriculosinus shunt,"de Oliveira, Matheus Fern and es and Teixeira, Manoel Jacobsen and de Lima Oliveira, Marcelo and Seng-Shu, Edson Bor and Norremose, Karen Andrade and Gomes Pinto, Fern and o Campos",Passed,TRUE,Moniba,TRUE,Safia,English,Brazil,2016,2010-2012,Upper middle income,Latin America & Caribbean,Multiple case report,5,140,168,,,1,4,
ID 165,Treatment of hydrocephalus in children with open meningomyelocele - A 10-year experience,"Rysiakiewicz, Jolanta and Bagalj, Maciej",Passed,TRUE,Sett,FALSE,Jeremy,English,Poland,2011,1997-2006,High income,Europe & Central Asia,Retrospective study (unspecified),86,,,,,,,
ID 166,Ventajas de la plastia de mielomeningocele y derivación ventrículo-peritoneal en único tiempo quirúrgico: Experiencia en 47 casos,"Alcocer Maldonado, José Luis and Morales Montes, Ricardo and Domínguez Carrillo, Luis Gerardo",Passed,TRUE,Alvaro,FALSE,Brian,Spanish,Mexico,2017,2011-2014,Upper middle income,Latin America & Caribbean,Retrospective study (unspecified),47,5,,6,,26,21,
ID 167,Ventriculo-subgaleal shunts-broadening the horizons: an institutional experience,"Sil, Kaushik and Ghosh, Sudip Kumar and Chatterjee, S and ip",Passed,TRUE,Berjo,TRUE,Brian,English,India,2021,2009-2018,Lower middle income,South Asia,Case series,39,255.5,,,,,,
ID 168,Ventriculosubgaleal shunting - A strategy to reduce the incidence of shunt revisions and slit ventricles: An institutional experience and review of the literature,"Petraglia, Anthony L. and Moravan, Michael J. and Dimopoulos, Vassilios G. and Silberstein, Howard J.",Passed,TRUE,Berjo,TRUE,Brian,English,United States,2011,2002-2009,High income,North America,Case series,9,9.94,,,,5,4,
,,,,155 papers done; 13 papers remaining,,,,,,,,,,,,,,,,,,
